artist,song,duration_ms,duration_min,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,primary_genre,secondary_genre,tertiary_genre,
Usher,Scream,234693,3.91,FALSE,2012,66,0.616,0.862,7,-5.18,minor,0.0973,0.00117,0,0.179,0.569,127.992,hip hop, pop, r&b,
Olly Murs,Troublemaker (feat. Flo Rida),185586,3.09,FALSE,2012,0,0.762,0.863,0,-3.689,minor,0.0565,0.015,0,0.125,0.965,106.008,pop, dance/electronic,,
Linkin Park,BURN IT DOWN,230253,3.84,FALSE,2012,73,0.585,0.972,9,-4.45,minor,0.0534,0.0143,0,0.0707,0.585,110.006,rock, metal,,
Bruno Mars,Locked out of Heaven,233478,3.89,FALSE,2012,85,0.726,0.698,5,-4.165,major,0.0431,0.049,0,0.309,0.867,143.994,pop,,,
Avicii,Levels - Radio Edit,199906,3.33,FALSE,2011,77,0.584,0.889,1,-5.941,minor,0.0343,0.0462,0.828,0.309,0.464,126.04,pop, dance/electronic,,
Flo Rida,Good Feeling,248133,4.14,FALSE,2012,76,0.706,0.89,1,-4.444,minor,0.0688,0.0588,0.00286,0.306,0.684,128.011,hip hop, pop,,
Rihanna,Diamonds,225146,3.75,FALSE,2012,75,0.564,0.71,11,-4.92,minor,0.0461,0.00125,0,0.109,0.393,91.972,hip hop, pop, r&b,
Wiz Khalifa,"Work Hard, Play Hard",219026,3.65,TRUE,2012,62,0.787,0.666,11,-4.475,major,0.0485,0.0409,1.91E-05,0.296,0.485,140.008,hip hop, pop,,
Katy Perry,Part Of Me,216160,3.60,FALSE,2012,73,0.678,0.918,5,-4.63,major,0.0355,0.000417,0,0.0744,0.769,130.028,pop,,,
Nicki Minaj,Starships,210626,3.51,TRUE,2012,75,0.747,0.716,11,-2.457,minor,0.075,0.135,0,0.251,0.751,125.008,hip hop, pop,,
Kendrick Lamar,m.A.A.d city,350120,5.84,TRUE,2012,67,0.487,0.729,2,-6.815,major,0.271,0.0538,4.07E-06,0.44,0.217,91.048,hip hop,,,
Asaf Avidan & the Mojos,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],212360,3.54,FALSE,2012,0,0.821,0.676,3,-6.366,minor,0.0547,0.187,0.0001,0.0927,0.559,119.012,pop,,,
Florence + The Machine,Spectrum (Say My Name) - Calvin Harris Remix,218190,3.64,FALSE,2011,68,0.578,0.946,11,-3.85,minor,0.0482,0.00225,0.00412,0.0966,0.588,126.092,rock, pop, dance/electronic,
Azealia Banks,212,204956,3.42,TRUE,2014,0,0.847,0.769,11,-5.761,minor,0.258,0.0145,0.00012,0.0767,0.626,126.017,hip hop, pop, r&b,
Maroon 5,Payphone,231173,3.85,TRUE,2012,82,0.743,0.752,4,-4.813,major,0.0414,0.0188,0,0.287,0.545,110.015,pop,,,
James Arthur,Impossible,209440,3.49,FALSE,2013,75,0.376,0.695,0,-4.782,minor,0.0933,0.135,0,0.11,0.302,169.533,pop,,,
Michel Teló,Ai Se Eu Te Pego - Live,166866,2.78,FALSE,2012,0,0.676,0.935,11,-4.55,major,0.0692,0.357,0,0.853,0.85,96.055,country, latin,,
Otto Knows,Million Voices - Radio Edit,192866,3.21,FALSE,2012,0,0.582,0.894,8,-6.298,major,0.041,0.0022,0.0223,0.0664,0.0694,125.946,pop, dance/electronic,,
Icona Pop,I Love It,156773,2.61,TRUE,2012,51,0.71,0.901,1,-2.686,major,0.0296,0.00828,1.34E-05,0.172,0.86,125.953,pop, dance/electronic,,
Tyga,Rack City,203200,3.39,TRUE,2012,61,0.929,0.339,1,-10.881,major,0.371,0.0373,1.96E-05,0.187,0.273,98.986,hip hop, pop,,
Calvin Harris,Feel So Close - Radio Edit,206413,3.44,FALSE,2012,79,0.707,0.924,7,-2.842,major,0.031,0.000972,0.00703,0.204,0.919,127.937,hip hop, pop, dance/electronic,
Jennifer Lopez,Dance Again,237266,3.95,FALSE,2012,0,0.797,0.867,11,-5.242,minor,0.0696,0.0158,2.79E-06,0.0868,0.716,127.974,hip hop, pop, r&b,
Grimes,Oblivion,251266,4.19,FALSE,2012,0,0.697,0.529,2,-8.838,major,0.0338,0.115,0.901,0.0895,0.486,155.974,pop, rock, dance/electronic,
Adele,Rumour Has It,223266,3.72,FALSE,2011,0,0.612,0.748,0,-5.014,major,0.0445,0.617,0,0.167,0.574,120.052,pop, r&b,,
Coldplay,Paradise,278719,4.65,FALSE,2011,82,0.449,0.585,5,-6.761,major,0.0268,0.0509,8.75E-05,0.0833,0.212,139.631,rock, pop,,
Chris Brown,Turn Up the Music,227973,3.80,FALSE,2012,64,0.594,0.841,1,-5.792,major,0.102,0.000238,2.22E-06,0.156,0.643,129.925,hip hop, pop, r&b,
Frank Ocean,Lost,234093,3.90,TRUE,2012,64,0.913,0.603,8,-4.892,major,0.226,0.0272,0.000503,0.167,0.497,123.061,hip hop, pop, r&b,
Calvin Harris,Let's Go (feat. Ne-Yo),232800,3.88,FALSE,2012,66,0.71,0.882,4,-2.932,minor,0.0595,0.00777,0.00771,0.294,0.875,128.016,hip hop, pop, dance/electronic,
The Script,Hall of Fame (feat. will.i.am),202533,3.38,FALSE,2012,78,0.421,0.873,10,-4.343,major,0.0564,0.0654,0,0.123,0.629,84.786,pop, rock,,
Swedish House Mafia,Don't You Worry Child - Radio Edit,212862,3.55,FALSE,2012,76,0.612,0.84,11,-3.145,minor,0.0509,0.112,0,0.116,0.438,129.042,pop, dance/electronic,,
MARINA,How to Be a Heartbreaker,221493,3.69,FALSE,2012,50,0.69,0.897,11,-4.696,minor,0.0506,0.0142,0,0.108,0.849,140.05,pop, dance/electronic,,
Justin Bieber,Boyfriend,171333,2.86,FALSE,2012,63,0.717,0.55,10,-6.019,minor,0.0519,0.0358,0.00198,0.126,0.331,96.979,pop,,,
David Guetta,Titanium (feat. Sia),245040,4.08,FALSE,2012,79,0.604,0.787,0,-3.674,minor,0.103,0.0679,0.15,0.127,0.301,126.062,hip hop, pop, dance/electronic,
Jessie J,Domino,231840,3.86,FALSE,2011,74,0.758,0.557,7,-4.568,major,0.034,0.0117,0,0.0418,0.781,126.986,hip hop, pop,,
Taylor Swift,I Knew You Were Trouble.,219720,3.66,FALSE,2012,59,0.622,0.469,3,-6.798,minor,0.0363,0.00454,2.25E-06,0.0335,0.679,77.019,pop,,,
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),197131,3.29,TRUE,2012,61,0.646,0.784,1,-7.471,minor,0.108,0.0166,0,0.0721,0.179,127.839,hip hop, pop,,
P!nk,Try,247906,4.13,FALSE,2012,76,0.674,0.628,2,-7.079,major,0.03,0.00144,0,0.0944,0.552,103.998,pop,,,
Robbie Williams,Candy,201053,3.35,FALSE,2012,68,0.715,0.791,10,-6.63,major,0.0414,0.0368,0,0.0694,0.879,116.043,pop, rock,,
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333,3.46,TRUE,2011,77,0.715,0.655,0,-6.425,major,0.137,0.0525,0,0.115,0.531,95.078,hip hop, pop,,
Justin Bieber,As Long As You Love Me,229466,3.82,FALSE,2012,67,0.571,0.873,0,-3.382,minor,0.1,0.0811,0,0.361,0.613,139.691,pop,,,
Rita Ora,R.I.P. (feat. Tinie Tempah),228026,3.80,FALSE,2012,46,0.603,0.831,11,-3.443,minor,0.0479,0.027,0,0.652,0.358,72.022,hip hop, pop, dance/electronic,
Alex Clare,Too Close,256613,4.28,FALSE,2011,60,0.588,0.694,11,-4.278,minor,0.0387,0.00948,0,0.113,0.271,126.027,rock,,,
Tyga,Faded,206666,3.44,TRUE,2012,58,0.831,0.667,1,-8.438,major,0.188,0.0103,0,0.35,0.339,95.073,hip hop, pop,,
Alesso,Years - ラジオ・エディット,195480,3.26,FALSE,2012,0,0.37,0.823,2,-6.245,major,0.0805,0.00234,1.91E-06,0.174,0.323,128.008,pop, dance/electronic,,
Guy Sebastian,Battle Scars (feat. Lupe Fiasco),250080,4.17,FALSE,2012,0,0.61,0.863,5,-2.632,minor,0.206,0.186,0,0.097,0.508,83.993,pop,,,
Katy Perry,The One That Got Away,227333,3.79,FALSE,2012,72,0.687,0.792,1,-4.023,minor,0.0353,0.000802,0,0.2,0.864,133.962,pop,,,
Avicii,Silhouettes - Original Radio Edit,211880,3.53,FALSE,2012,53,0.605,0.8,5,-6.235,minor,0.0545,0.155,0.0562,0.121,0.836,128.074,pop, dance/electronic,,
Gotye,Somebody That I Used To Know,244884,4.08,FALSE,2011,57,0.863,0.527,0,-6.896,major,0.0358,0.607,0.000168,0.107,0.674,129.054,pop,,,
Flo Rida,Wild Ones (feat. Sia),232946,3.88,FALSE,2012,77,0.608,0.86,5,-5.324,minor,0.0554,0.0991,0,0.262,0.437,127.075,hip hop, pop,,
One Direction,What Makes You Beautiful,199986,3.33,FALSE,2012,82,0.726,0.787,4,-2.494,major,0.0737,0.009,0,0.0596,0.888,124.99,pop,,,
Lana Del Rey,Born To Die,286253,4.77,FALSE,2012,53,0.18,0.636,4,-6.591,minor,0.0439,0.209,0.000133,0.217,0.39,75.223,pop,,,
Kesha,C'Mon,214333,3.57,FALSE,2012,0,0.558,0.781,1,-5.448,minor,0.0963,0.00657,0.00144,0.102,0.286,126.025,pop, dance/electronic,,
Owl City,Good Time,205933,3.43,FALSE,2012,77,0.56,0.872,3,-4.269,major,0.14,0.0239,6.98E-06,0.371,0.682,126.05,rock, pop,,
